         134227839 function calls (133581560 primitive calls) in 566.056 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1  209.930  209.930  210.140  210.140 {built-in method exec_}
  1028265   42.273    0.000   44.743    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\TIR.py:184(calc_netrad)
    23656   38.811    0.002  235.232    0.010 C:\Users\liuha\Desktop\TBM_3.0\src\model\Ebal.py:139(Ebal)
    53704   23.741    0.000   33.660    0.001 C:\Users\liuha\Desktop\TBM_3.0\src\model\RTM_Optical.py:185(hotspot_calculations_vec)
  4113060   19.160    0.000   19.160    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\resistance.py:11(calc_Psi_M)
       52   18.845    0.362   19.468    0.374 C:\Users\liuha\Desktop\TBM_3.0\src\model\RTM_initial.py:490(volscatt_vec)
    26304   11.777    0.000   67.743    0.003 C:\Users\liuha\Desktop\TBM_3.0\src\model\RTM_Optical.py:12(rtm_o)
  2109138   11.464    0.000   20.960    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\Ebal.py:71(calc_veg_fluxes)
   360368   10.909    0.000   19.716    0.000 C:\Users\liuha\anaconda3\lib\site-packages\scipy\integrate\_quadrature.py:391(_basic_simpson)
  4218276    9.210    0.000    9.210    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\Ebal_funcs.py:28(calc_delta_vapor_pressure)
  2109138    7.572    0.000   16.346    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\Ebal.py:108(calc_soil_fluxes)
  4485824    7.208    0.000    7.208    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\Ebal_funcs.py:10(calc_vapor_pressure)
5812764/5176655    7.118    0.000   23.558    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  2147761    6.697    0.000   19.783    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\PhotoSynth_Jen.py:153(opt_Cm)
  2747209    6.452    0.000    6.452    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\PhotoSynth_Jen.py:238(sel_root)
  1028265    5.657    0.000   39.968    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\resistance.py:172(resistance)
  2347577    5.302    0.000   10.896    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\PhotoSynth_Jen.py:164(Compute_A)
  1303997    5.132    0.000   19.206    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:928(__getitem__)
4867586/4867582    4.928    0.000    4.928    0.000 {built-in method numpy.array}
  1028265    4.554    0.000    9.808    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\resistance.py:33(calc_u_star)
   199816    4.241    0.000   24.024    0.000 {built-in method scipy.optimize._zeros._brentq}
  1028265    3.945    0.000   18.305    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\resistance.py:63(calc_u_C_star)
   199816    3.830    0.000   38.407    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\PhotoSynth_Jen.py:15(PhotoSynth_Jen)
   191364    3.475    0.000   23.868    0.000 C:\Users\liuha\anaconda3\lib\site-packages\scipy\integrate\_quadrature.py:433(simpson)
   210432    3.416    0.000    9.162    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\RTM_initial.py:598(volscatt_solar)
  1028265    3.246    0.000    3.246    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\resistance.py:128(calc_R_S_Choudhury)
   360400    3.210    0.000    3.572    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\function_base.py:1153(diff)
  1302901    3.092    0.000   12.634    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:1034(_get_value)
   199816    3.065    0.000    3.065    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\PhotoSynth_Jen.py:67(calc_fluorescence_activation)
  1028265    2.952    0.000    2.952    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\resistance.py:92(calc_R_x_Choudhury)
  5246541    2.871    0.000    2.871    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\Ebal_funcs.py:45(calc_lambda)
  3222240    2.840    0.000    8.893    0.000 <__array_function__ internals>:2(copy)
    26304    2.618    0.000    2.618    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\RTM_Optical.py:135(hotspot_calculations)
        4    2.577    0.644   22.045    5.511 C:\Users\liuha\Desktop\TBM_3.0\src\model\RTM_initial.py:339(weighted_sum_over_lidf_vec)
  1028265    2.534    0.000    3.073    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\Ebal.py:26(Monin_Obukhov)
    26304    2.455    0.000    2.497    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\TIR.py:55(calc_ebal_canopy_pars)
  2147761    2.433    0.000    3.115    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\PhotoSynth_Jen.py:189(BallBerry)
  4244580    2.030    0.000    2.030    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\TIR.py:11(CalcStephanBoltzmann)
   210432    2.012    0.000   12.294    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\RTM_initial.py:377(weighted_sum_over_lidf_solar)
 10275374    1.981    0.000    1.982    0.000 {built-in method builtins.max}
    26304    1.938    0.000    2.083    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\TIR.py:28(Planck)
  1302916    1.897    0.000    3.110    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5695(_maybe_cast_indexer)
  1040508    1.880    0.000    1.880    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\PhotoSynth_Jen.py:275(arrh)
    26304    1.862    0.000   14.865    0.001 C:\Users\liuha\Desktop\TBM_3.0\src\model\RTM_Optical.py:405(i_hemi)
  1302916    1.810    0.000    5.528    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:3317(get_loc)
   714084    1.763    0.000    1.763    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    26304    1.730    0.000   25.697    0.001 C:\Users\liuha\Desktop\TBM_3.0\src\model\TIR.py:110(calc_netrad_pars)
  1028265    1.626    0.000    2.016    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\hydraulics.py:10(calc_beta_e)
   199816    1.513    0.000    2.371    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\PhotoSynth_Jen.py:123(calc_ETR)
  1302901    1.473    0.000    4.015    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5174(_get_values_for_loc)
   712672    1.452    0.000    3.770    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:70(_wrapreduction)
      985    1.329    0.001  304.396    0.309 C:\Users\liuha\Desktop\TBM_3.0\src\model\model.py:85(tbm)
  1304006    1.072    0.000    2.440    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:674(_values)
  1304006    1.022    0.000    1.368    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1674(internal_values)
   501700    0.969    0.000    3.529    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2111(sum)
    80008    0.946    0.000    0.946    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\RTM_Optical.py:232(define_geometric_constant)
