wl	t1	t3	t4	t5	t12	t16
400	435.3624759	0.274339216	0.314488811	0.395331676	0.086276541	4.70E-44
401	406.7856424	0.273311629	0.31625771	0.395068694	0.086436645	5.95E-44
402	438.2552974	0.272007952	0.318532129	0.39481079	0.086642952	7.97E-44
403	408.21089	0.270668459	0.320696295	0.39438941	0.086802115	1.07E-43
404	443.0859958	0.269292887	0.322644774	0.393695145	0.08688571	1.42E-43
405	394.0522684	0.267931902	0.324620836	0.393017049	0.086976033	1.90E-43
406	386.9387193	0.2666312	0.3268425	0.3927328	0.08714615	2.53E-43
407	399.1102067	0.265362639	0.329055672	0.392429344	0.087318885	3.37E-43
408	408.3856833	0.264013233	0.330759583	0.39144805	0.087324767	4.48E-43
409	449.359311	0.262722254	0.33275422	0.39088722	0.087421746	5.93E-43
410	366.71271	0.2614317	0.3347798	0.390353333	0.087521817	7.85E-43
411	425.0839381	0.260162254	0.336855373	0.389887508	0.087636881	1.04E-42
412	446.5619639	0.258911864	0.339034576	0.389573898	0.087779915	1.37E-42
413	425.5267346	0.257610203	0.340684847	0.388592237	0.087763729	1.81E-42
414	436.8795528	0.256360552	0.342762534	0.388153259	0.087870586	2.39E-42
415	434.9625771	0.255118517	0.344843362	0.387727517	0.08797569	3.14E-42
416	425.1061438	0.253876069	0.346974172	0.387372207	0.088088207	4.13E-42
417	424.9789511	0.252592544	0.348813456	0.386671561	0.088107614	5.41E-42
418	415.2550719	0.251407293	0.350686224	0.386041086	0.088164897	7.09E-42
419	422.5853111	0.250197228	0.352605912	0.385435421	0.088220895	9.30E-42
420	397.2947536	0.249026571	0.354445268	0.384788393	0.088266054	1.21E-41
421	450.7890905	0.247847421	0.356344965	0.384228895	0.088319018	1.58E-41
422	438.9673971	0.246660679	0.35823225	0.383630982	0.088361732	2.07E-41
423	380.507128	0.2455015	0.360134036	0.383058089	0.088413196	2.69E-41
424	412.4114364	0.244322709	0.361784382	0.382241018	0.088391945	3.49E-41
425	422.1352713	0.243180179	0.363713964	0.381730839	0.088447893	4.54E-41
426	398.3973722	0.242045709	0.365927764	0.381541545	0.088571091	5.89E-41
