#wlgth,rho,drho,rho,drho,rho,drho,rho,drho,rho,drho,rho,drho,mean,stdev
400.67,0.1006,0.0003,0.0597,3.99E-05,0.0635,0.0001,0.0672,0.0001,0.0678,8.58E-05,0.1144,0.0007,0.0789,0.0228
402.16,0.1009,0.0002,0.0601,9.40E-05,0.064,0.0002,0.0676,9.23E-05,0.0683,7.60E-05,0.1149,0.0006,0.0793,0.0228
403.65,0.1011,0.0003,0.0605,9.31E-05,0.0644,0.0001,0.0677,4.42E-05,0.0684,0.0002,0.1159,0.0007,0.0797,0.023
405.14,0.1011,0.0002,0.061,0.0001,0.0647,0.0002,0.0677,4.25E-05,0.0684,5.71E-05,0.1166,0.0008,0.0799,0.0231
406.63,0.1012,0.0003,0.0615,0.0001,0.0651,0.0002,0.0682,4.59E-05,0.0688,0.0002,0.117,0.0008,0.0803,0.023
408.12,0.1013,0.0001,0.062,7.76E-05,0.0656,0.0001,0.0686,6.23E-05,0.0693,8.16E-05,0.1178,0.0009,0.0808,0.023
409.61,0.1017,0.0004,0.0626,7.29E-05,0.0661,0.0002,0.0692,7.42E-05,0.0698,0.0001,0.1177,0.0007,0.0812,0.0228
411.1,0.1015,0.0002,0.0631,0.0001,0.0667,0.0002,0.0697,3.57E-05,0.0704,0.0002,0.1182,0.0007,0.0816,0.0226
412.59,0.1019,0.0002,0.0639,5.31E-05,0.0676,0.0002,0.07,9.63E-05,0.0707,0.0002,0.119,0.0008,0.0822,0.0227
414.08,0.1017,0.0005,0.0645,0.0002,0.0681,0.0002,0.0704,6.83E-05,0.0711,0.0002,0.1197,0.0009,0.0826,0.0226
415.57,0.102,0.0003,0.0652,0.0002,0.0689,0.0001,0.0708,8.65E-05,0.0714,5.43E-05,0.1206,0.0008,0.0831,0.0227
417.06,0.1017,0.0001,0.066,9.53E-05,0.0695,0.0001,0.0712,5.58E-05,0.0718,8.00E-05,0.1211,0.0008,0.0835,0.0225
418.56,0.102,0.0003,0.0668,0.0001,0.0704,0.0002,0.072,0.0001,0.0724,0.0002,0.1205,0.0007,0.084,0.022
420.05,0.1033,0.0005,0.0674,0.0002,0.071,0.0002,0.0729,8.18E-05,0.0737,0.0002,0.1205,0.0009,0.0848,0.0218
421.54,0.1032,0.0003,0.0676,6.63E-05,0.0708,0.0002,0.0726,8.70E-05,0.0732,8.23E-05,0.1224,0.0009,0.085,0.0225
423.03,0.1028,0.0003,0.0679,9.71E-05,0.0711,0.0001,0.0723,7.92E-05,0.073,0.0003,0.1231,0.0009,0.085,0.0226
424.53,0.1022,0.0002,0.0685,0.0002,0.0718,8.71E-05,0.0726,0.0001,0.0732,0.0001,0.1236,0.0008,0.0853,0.0225
